Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ACBarrie_R1	0.3111495246326707	40.985306828003296
ACBarrie_R2	0.311257132975964	41.518243126405416
Alsen_R1	0.14453850918851952	2.973363617592401
Alsen_R2	0.14418125643666324	2.7394438722966017
Baxter_R1	0.1554001554001554	0.8352758352758356
Baxter_R2	0.14561693039510726	0.9319483545286865
Chara_R1	0.0	0.0
Chara_R2	0.10151347360649685	0.0
Drysdale_R1	0.0	0.0
Drysdale_R2	0.0	0.0
